Notti;Periodo;"Room Night";"Room Night Totali";Pickup;"Lead Time Medio";Occupazione(%);"Occupazione Persone Media";"Non Classificato";Ristorante;"Spa
";Pernotto;Altro;Sconti;"City Tax";RevPar;ADR;"Ricavo medio prenotazione";Totale;"Totale senza imposta"
1,00;"Lu 04 Ago 2025";25,00;25,00;16,00;"2 mesi 26 giorni 0 ore";100,00;2,32;0,00;485,00;170,00;6.150,37;8,00;0,00;127,50;246,01;246,01;277,63;6.940,87;6.813,37
1,00;"Ma 05 Ago 2025";25,00;25,00;18,00;"5 mesi 22 giorni 0 ore";100,00;2,24;0,00;543,50;180,00;6.575,82;90,00;0,00;127,50;263,03;263,03;300,67;7.516,82;7.389,32
1,00;"Me 06 Ago 2025";25,00;25,00;23,00;"5 mesi 22 giorni 0 ore";100,00;2,24;-2.245,30;487,00;410,00;5.803,74;0,00;0,00;125,00;232,15;232,15;183,22;4.580,44;4.455,44
1,00;"Gi 07 Ago 2025";25,00;25,00;99,00;"1 mesi 17 giorni 0 ore";100,00;2,20;0,00;508,50;260,00;5.689,56;2,00;0,00;120,00;227,58;227,58;263,20;6.580,06;6.460,06
1,00;"Ve 08 Ago 2025";25,00;25,00;18,00;"3 mesi 4 giorni 0 ore";100,00;2,20;-0,47;488,00;700,00;6.310,03;6,50;0,00;122,50;252,40;252,40;305,06;7.626,56;7.504,06
1,00;"Sa 09 Ago 2025";25,00;25,00;26,00;"1 mesi 21 giorni 0 ore";100,00;2,36;0,00;562,50;600,00;6.986,01;195,00;0,00;120,00;279,44;279,44;338,54;8.463,51;8.343,51
1,00;"Do 10 Ago 2025";25,00;25,00;15,00;"1 mesi 24 giorni 0 ore";100,00;2,16;0,00;550,00;460,00;5.410,57;40,00;0,00;107,50;216,42;216,42;262,72;6.568,07;6.460,57
1,00;"Lu 11 Ago 2025";25,00;25,00;15,00;"2 mesi 19 giorni 0 ore";100,00;2,36;0,00;486,50;100,00;6.637,93;16,00;0,00;110,00;265,52;265,52;294,02;7.350,43;7.240,43
1,00;"Ma 12 Ago 2025";25,00;25,00;9,00;"2 mesi 4 giorni 0 ore";100,00;2,32;0,00;476,50;100,00;6.614,74;82,00;0,00;110,00;264,59;264,59;295,33;7.383,24;7.273,24
1,00;"Me 13 Ago 2025";25,00;25,00;11,00;"2 mesi 4 giorni 0 ore";100,00;2,32;-0,37;481,00;490,00;5.936,78;20,00;0,00;120,00;237,47;237,47;281,90;7.047,41;6.927,41
1,00;"Gi 14 Ago 2025";25,00;25,00;16,00;"1 mesi 21 giorni 0 ore";100,00;2,32;-35,66;530,50;295,00;5.917,99;0,00;0,00;122,50;236,72;236,72;273,21;6.830,33;6.707,83
1,00;"Ve 15 Ago 2025";25,00;25,00;7,00;"1 mesi 5 giorni 0 ore";100,00;2,32;0,00;561,00;590,00;6.656,68;24,00;0,00;125,00;266,27;266,27;318,27;7.956,68;7.831,68
1,00;"Sa 16 Ago 2025";25,00;25,00;10,00;"2 mesi 4 giorni 0 ore";100,00;2,24;0,00;517,50;250,00;6.393,60;141,00;0,00;125,00;255,74;255,74;297,08;7.427,10;7.302,10
1,00;"Do 17 Ago 2025";25,00;25,00;17,00;"2 mesi 8 giorni 0 ore";100,00;2,32;0,00;529,50;650,00;5.626,08;14,00;0,01;122,50;225,04;225,04;277,68;6.942,09;6.819,59
1,00;"Lu 18 Ago 2025";25,00;25,00;17,00;"2 mesi 4 giorni 0 ore";100,00;2,36;0,00;554,50;360,00;5.764,72;61,00;0,00;120,00;230,59;230,59;274,41;6.860,22;6.740,22
1,00;"Ma 19 Ago 2025";25,00;25,00;22,00;"2 mesi 8 giorni 0 ore";100,00;2,44;0,00;528,00;180,00;6.069,64;2,00;0,00;120,00;242,79;242,79;275,99;6.899,64;6.779,64
1,00;"Me 20 Ago 2025";24,00;25,00;21,00;"1 mesi 17 giorni 0 ore";96,00;2,42;0,00;545,00;410,00;5.149,33;60,00;0,00;110,00;205,97;214,56;261,43;6.274,33;6.164,33
1,00;"Gi 21 Ago 2025";25,00;25,00;28,00;"1 mesi 27 giorni 0 ore";100,00;2,36;0,00;620,00;770,00;5.202,77;0,00;0,00;112,50;208,11;208,11;268,21;6.705,27;6.592,77
1,00;"Ve 22 Ago 2025";25,00;25,00;39,00;"0 mesi 22 giorni 0 ore";100,00;2,04;-0,11;639,50;480,00;5.321,65;34,00;0,00;120,00;212,87;212,87;263,80;6.595,04;6.475,04
1,00;"Sa 23 Ago 2025";24,00;25,00;15,00;"2 mesi 19 giorni 0 ore";96,00;1,96;0,00;540,00;780,00;5.679,65;6,00;0,00;107,50;227,19;236,65;296,38;7.113,15;7.005,65
1,00;"Do 24 Ago 2025";25,00;25,00;19,00;"1 mesi 3 giorni 0 ore";100,00;2,08;0,00;447,50;520,00;3.875,24;113,50;0,00;107,50;155,01;155,01;202,55;5.063,74;4.956,24
1,00;"Lu 25 Ago 2025";25,00;25,00;14,00;"1 mesi 13 giorni 0 ore";100,00;2,28;0,00;633,00;340,00;3.732,96;20,00;0,00;117,50;149,32;149,32;193,74;4.843,46;4.725,96
1,00;"Ma 26 Ago 2025";22,00;25,00;17,00;"2 mesi 8 giorni 0 ore";88,00;2,09;0,00;777,50;630,00;3.258,44;0,00;-0,03;117,50;130,34;148,11;217,43;4.783,41;4.665,91
1,00;"Me 27 Ago 2025";25,00;25,00;22,00;"1 mesi 6 giorni 0 ore";100,00;2,16;0,00;564,00;0,00;5.449,07;32,00;0,00;117,50;217,96;217,96;246,50;6.162,57;6.045,07
